N;Lista_budowa[s];BST_budowa[s];Lista_szukanie[s];BST_szukanie[s];Lista_usuwanie[s];BST_usuwanie[s]
3000;0.08394914;0.00216208;0.17039756;0.00163167;0.00030249;0.00398992
6000;0.34610065;0.00503294;0.67975310;0.00395871;0.00056526;0.00920585
9000;0.78866690;0.00770708;1.57828064;0.00571272;0.00079622;0.01402685
12000;1.42311644;0.01251217;2.83389364;0.00807042;0.00107858;0.01948928
15000;2.24060171;0.01551371;4.48399024;0.01047037;0.00135186;0.02465897
18000;3.28896928;0.01673111;6.58527751;0.01270044;0.00162156;0.03062640
21000;4.56822860;0.02324524;9.13073710;0.01657297;0.00192306;0.03908481
24000;5.85111138;0.02867122;11.39302042;0.01871428;0.00216501;0.04447721
27000;7.65800356;0.02871868;15.36195065;0.02094517;0.00254007;0.04921832
30000;9.64933956;0.03229767;19.20733856;0.02364913;0.00277201;0.05486360
33000;11.74728401;0.03606076;23.37937590;0.02706026;0.00306229;0.06270636
36000;14.10961044;0.04263819;27.98000333;0.02967599;0.00339794;0.07025242
39000;16.62387789;0.04091104;32.92113481;0.03212371;0.00368271;0.07514342
42000;19.28227578;0.04867676;38.34816333;0.03436337;0.00398626;0.08021649
45000;22.20564124;0.05483940;44.09753276;0.03746904;0.00422617;0.08647205
