n,macierz,lista
100,0.009541166000000018,0.00019516600000002438
200,0.07473624999999995,0.001069500000000001
300,0.26206799999999997,0.002560291999999964
400,0.6631741670000001,0.004545000000000021
500,1.3490954999999998,0.007795708000000179
600,2.389184833,0.016787458000000477
700,3.888211792,0.019395790999999107
800,5.910829207999999,0.028001458000000312
900,8.457582834000002,0.04209762500000025
1000,11.745810000000002,0.054255124999997406
1100,15.925838540999997,0.0659464579999991
1200,20.855295624999997,0.08983775000000094
1300,26.975206165999992,0.10934033400000942
1400,34.442267458,0.13753512499999943
1500,42.73007999999999,0.15903666699998098
