n,czas_macierz,czas_lista
200,0.001023374999999993,0.00024083299999999586
400,0.004401000000000044,0.0009210000000000051
600,0.010131124999999963,0.002142666999999987
800,0.017250500000000002,0.0039505000000000234
1000,0.02808933300000005,0.006451749999999978
1200,0.04053874999999996,0.00943325000000006
1400,0.05504358300000001,0.01306116700000004
1600,0.07385474999999975,0.01745399999999986
1800,0.09164433300000008,0.02212587499999996
2000,0.11262691700000005,0.027065584000000698
2200,0.13685470800000044,0.033517665999999835
2400,0.16277941599999934,0.04043362499999947
2600,0.1933149159999985,0.0473930419999995
2800,0.22098812499999987,0.054794707999999304
3000,0.25463666699999976,0.06370995800000046
